City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
206,Mar Del Plata,AR,70.09,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
207,Dicabisagan,PH,73.92,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
209,Abha,SA,57.02,clear sky,18.2164,42.5053,Abha Hotel
210,Te Anau,NZ,52.48,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
211,Pandan,PH,75.54,overcast clouds,14.0453,124.1694,Bonifacio Lodge
212,Bom Jesus,BR,79.79,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
213,Bukene,TZ,61.86,overcast clouds,-4.2333,32.8833,New Millenium Lodge
214,Saint George,US,52.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
216,Princeton,US,79.02,clear sky,25.5384,-80.4089,American Best Inn
217,Asau,RO,32.4,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
220,Bengkulu,ID,73.02,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
222,Lagoa,PT,57.92,broken clouds,39.05,-27.9833,Casa Das Faias
224,Pizarro,CO,80.37,light rain,4.9533,-77.366,Hotel Limonar
